Model,Dataset,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Stacking Ensemble After Tuning - GB Meta,Train,0.9879,0.9081,0.9216,0.6615,0.9615,0.3247,0.4854,1800,72,3744,43060
Stacking Ensemble After Tuning - GB Meta,Validation,0.5413,0.1315,0.88,0.503,0.1768,0.0147,0.0272,35,163,2341,18323
Stacking Ensemble After Tuning - GB Meta,Test,0.5422,0.1352,0.8808,0.5048,0.2179,0.018,0.0332,61,219,3333,26189
Stacking After Tuning - GB Meta,Train,0.9892,0.9148,0.9232,0.6682,0.966,0.338,0.5008,1874,66,3670,43066
Stacking After Tuning - GB Meta,Validation,0.5405,0.1316,0.88,0.5037,0.1893,0.0164,0.0302,39,167,2337,18319
Stacking After Tuning - GB Meta,Test,0.541,0.1354,0.8809,0.5049,0.2202,0.018,0.0332,61,216,3333,26192
Stacking After Tuning - LogReg Meta,Train,0.999,0.988,0.9875,0.9532,0.9798,0.9089,0.943,5039,104,505,43028
Stacking After Tuning - LogReg Meta,Validation,0.5971,0.1557,0.8731,0.5093,0.2004,0.0383,0.0643,91,363,2285,18123
Stacking After Tuning - LogReg Meta,Test,0.6001,0.1596,0.872,0.5123,0.2141,0.0466,0.0765,158,580,3236,25828
Stacking After Tuning - DecisionTree Meta,Train,0.7111,0.4731,0.9209,0.6608,0.9448,0.3241,0.4827,1797,105,3747,43027
Stacking After Tuning - DecisionTree Meta,Validation,0.5057,0.1168,0.8792,0.5036,0.1814,0.0173,0.0315,41,185,2335,18301
Stacking After Tuning - DecisionTree Meta,Test,0.5113,0.1192,0.8794,0.5053,0.2076,0.0209,0.038,71,271,3323,26137
