Model,Threshold,Accuracy,Precision Class 1,Recall Class 1,F1 Class 1,ROC-AUC,PR-AUC,Brier Score,False Negatives,False Positives,Confusion Matrix
Logistic Regression,0.5,0.6607106905576807,0.1755072463768116,0.5351303579319487,0.2643239113827349,0.6521027110489013,0.20672092771445008,0.2299018110459232,1052,5689,"[[11916, 5689], [1052, 1211]]"
XGBoost Default,0.5,0.6516508959130259,0.1821779475982533,0.5899248784798939,0.2783859868626838,0.6765503061424397,0.2288061001229129,0.218471152210504,928,5993,"[[11612, 5993], [928, 1335]]"
XGBoost Tuned,0.5,0.6694684920475136,0.18675400291120814,0.5669465311533363,0.2809591590933976,0.6767477704318876,0.22834111860867395,0.21136077279250798,980,5587,"[[12018, 5587], [980, 1283]]"
Random Forest,0.5,0.6949869136299577,0.1881057992442911,0.5059655324790102,0.274251497005988,0.6655940877680699,0.2162931348830699,0.2102180399774914,1118,4942,"[[12663, 4942], [1118, 1145]]"
LightGBM,0.5,0.6668512180390578,0.18453070683661646,0.5629695095006628,0.2779535289625832,0.6738412276169383,0.22691618643053754,0.21100984232117068,989,5630,"[[11975, 5630], [989, 1274]]"
