Experiment,Rows,Model,Threshold,Accuracy,Precision Class 1,Recall Class 1,F1 Class 1,ROC-AUC,PR-AUC,Brier Score,False Negatives,False Positives,Confusion Matrix
Encounter-level main,99340,XGBoost Default,0.5,0.6516508959130259,0.1821779475982533,0.5899248784798939,0.2783859868626838,0.6765503061424397,0.2288061001229129,0.218471152210504,928,5993,"[[11612, 5993], [928, 1335]]"
Patient-level sensitivity,69987,XGBoost Default - Deduplicated Sensitivity,0.5,0.6588084012001715,0.13996316758747698,0.5441527446300716,0.22265625,0.6517428466048101,0.17524493820733084,0.2174591677438655,573,4203,"[[8538, 4203], [573, 684]]"
